Date,Open,High,Low,Close,Adj Close,Volume,Open_brl,High_brl,Low_brl,Close_brl,Adj Close_brl,Volume_brl,Open_bvsp,High_bvsp,Low_bvsp,Close_bvsp,Adj Close_bvsp,Volume_bvsp,Open_petroleo,High_petroleo,Low_petroleo,Adj Close_petroleo,Volume_petroleo,Open_ouro,High_ouro,Low_ouro,Adj Close_ouro,Volume_ouro,Adj Close_goll4
2020-03-16,4.8526,4.988126,4.8526,4.8526,4.8526,0,4.8526,4.988126,4.8526,4.8526,4.8526,0,82565.0,82565.0,70855.0,71168.0,71168.0,12847800,33.75,33.75,28.1,28.7,698830.0,1563.8,1574.8,1450.9,1486.5,565980.0,8.04
2020-03-17,4.9994,5.0778,4.996051,4.999,4.999,0,4.9994,5.0778,4.996051,4.999,4.999,0,71178.0,77255.0,70783.0,74617.0,74617.0,14945900,28.69,30.3,26.63,26.95,545820.0,1512.8,1554.3,1465.6,1525.8,434510.0,7.78
2020-03-18,5.0099,5.1989,4.9835,5.0097,5.0097,0,5.0099,5.1989,4.9835,5.0097,5.0097,0,74576.0,74576.0,63547.0,66895.0,66895.0,16751500,26.94,27.22,20.06,20.37,309480.0,1527.6,1547.0,1473.3,1477.9,435190.0,5.6
2020-03-19,5.103829,5.2105,5.102208,5.103962,5.103962,0,5.103829,5.2105,5.102208,5.103962,5.103962,0,66883.0,70071.0,61691.0,68332.0,68332.0,16144700,22.3,27.71,21.36,25.22,136720.0,1487.2,1502.8,1460.1,1479.3,325290.0,6.25
2020-03-20,5.0948,5.097,4.9902,5.0942,5.0942,0,5.0948,5.097,4.9902,5.0942,5.0942,0,68344.0,72247.0,66120.0,67069.0,67069.0,15152400,24.73,27.89,19.46,22.43,29760.0,1471.6,1519.4,1457.5,1484.6,269970.0,7.28
2020-03-23,5.0455,5.1332,5.006,5.0455,5.0455,0,5.0455,5.1332,5.006,5.0455,5.0455,0,67067.0,67604.0,62161.0,63570.0,63570.0,11962200,22.52,24.07,20.8,23.36,852950.0,1505.0,1569.3,1484.6,1567.6,362070.0,6.93
2020-03-24,5.1417,5.1429,5.0388,5.1417,5.1417,0,5.1417,5.1429,5.0388,5.1417,5.1417,0,63604.0,71535.0,63604.0,69729.0,69729.0,11679900,23.87,25.16,23.09,24.01,659700.0,1563.8,1698.0,1560.5,1660.8,418780.0,8.1
2020-03-25,5.0986,5.10321,5.051,5.0981,5.0981,0,5.0986,5.10321,5.051,5.0981,5.0981,0,69727.0,76714.0,69360.0,74956.0,74956.0,12951100,24.37,25.24,22.91,24.49,618730.0,1666.2,1699.3,1615.2,1633.4,254190.0,10.94
2020-03-26,5.031478,5.060156,4.9739,5.0337,5.0337,0,5.031478,5.060156,4.9739,5.0337,5.0337,0,74956.0,78846.0,74923.0,77710.0,77710.0,12758000,24.25,24.65,22.38,22.6,633880.0,1642.5,1672.5,1611.0,1651.2,215970.0,13.04
2020-03-27,5.0218,5.1162,4.981573,5.0226,5.0226,0,5.0218,5.1162,4.981573,5.0226,5.0226,0,77708.0,77708.0,73057.0,73429.0,73429.0,10301400,23.29,23.44,20.88,21.51,603120.0,1653.4,1661.0,1630.7,1654.1,159260.0,12.59
2020-03-30,5.1003,5.1756,5.077654,5.104629,5.104629,0,5.1003,5.1756,5.077654,5.104629,5.104629,0,73431.0,75430.0,73184.0,74640.0,74640.0,9032200,20.93,20.93,19.27,20.09,758710.0,1663.4,1673.6,1632.0,1643.2,157370.0,12.3
2020-03-31,5.190701,5.204,5.1665,5.1927,5.1927,0,5.190701,5.204,5.1665,5.1927,5.1927,0,74629.0,75511.0,72385.0,73020.0,73020.0,11141500,20.23,21.89,20.01,20.48,660080.0,1643.4,1645.6,1588.2,1596.6,176550.0,11.37
2020-04-01,5.2039,5.2489,5.19839,5.2035,5.2035,0,5.2039,5.2489,5.19839,5.2035,5.2035,0,73011.0,73011.0,69569.0,70967.0,70967.0,10093500,20.1,21.55,19.9,20.31,703290.0,1589.4,1612.4,1576.0,1591.4,164480.0,9.98
2020-04-02,5.248,5.2759,5.2208,5.2482,5.2482,0,5.248,5.2759,5.2208,5.2482,5.2482,0,70969.0,73861.0,70957.0,72253.0,72253.0,10540200,21.22,27.39,20.76,25.32,1100000.0,1602.4,1645.6,1595.2,1637.7,167710.0,10.13
